"","STABBR","RELAFFIL","TUITIONFEE_IN","WDRAW_ORIG_YR2_RT","LO_INC_WDRAW_ORIG_YR2_RT"
"227","CA","NULL","6639","0.141840607211","0.154673679178"
"228","CA","NULL","6875","0.145529912615","0.147354447184"
"229","CA","NULL","7204","0.121203355511","0.133244680851"
"230","CA","NULL","14170","0.07196329389","0.074918566775"
"231","CA","NULL","14419","0.057179866765","0.066527196653"
"232","CA","NULL","13738","0.060990585346","0.068192433442"
"233","CA","NULL","13261","0.050717515235","0.065656565657"
"234","CA","NULL","13917","0.082005623243","0.089225589226"
"235","CA","NULL","14018","0.053895034126","0.066557555919"
"236","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"237","CA","NULL","14451","0.112212943633","0.122127380171"
"238","CA","NULL","14020","0.078735632184","0.088483146067"
"239","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"240","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"241","CA","41","9330","PrivacySuppressed","PrivacySuppressed"
"242","CA","NULL","NULL","0.16149068323","PrivacySuppressed"
"243","CA","NULL","47446","0.14367816092","PrivacySuppressed"
"244","CA","NULL","7056","0.097777777778","PrivacySuppressed"
"245","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"246","CA","NULL","1360","0.40831758034","0.434316353887"
"247","CA","NULL","1154","0.35460450898","0.375781694144"
"248","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"249","CA","NULL","NULL","0.174107142857","0.184931506849"
"250","CA","NULL","NULL","0.142776523702","0.155405405405"
"251","CA","NULL","NULL","0.142776523702","0.155405405405"
"252","CA","NULL","NULL","0.142776523702","0.155405405405"
"253","CA","NULL","NULL","0.142776523702","0.155405405405"
"254","CA","NULL","NULL","0.142776523702","0.155405405405"
"255","CA","NULL","NULL","0.142776523702","0.155405405405"
"256","CA","NULL","1346","0.410714285714","0.423152022315"
"257","CA","NULL","1290","0.573138297872","0.584142394822"
"258","CA","NULL","1138","0.452133194589","0.468146027201"
"259","CA","NULL","1170","0.48553487329","0.495976154993"
"260","CA","61","50594","0.053734061931","0.093220338983"
"261","CA","NULL","13972","PrivacySuppressed","PrivacySuppressed"
